	sentence	label
1	-- То-то -- бедная!	neutral
2	-- Куда же приехали-то?	neutral
3	-- Когда бог судить-то будет?	neutral
4	-- А коли высечешь, значит, и не отвергнешь!	neutral
6	-- А где одёжу возьмёшь?	neutral
7	-- Нимало: не все равно играть, что там, что у Ивлевых?	neutral
8	-- А вот что я скажу тебе, Ваня, -- решил старик, надумавшись, -- я и сам это видел, заметил и, признаюсь, даже обрадовался, что ты и Наташа...	neutral
10	-- Чего изволите?	neutral
12	-- Нет, маменька, не надо.	neutral
13	-- В поле -- очень!	neutral
14	-- На что дан свет человеку, которого путь закрыт и которого бог окружил мраком?	neutral
15	-- Кшш!..	negative
16	-- Мне во что бы ни стало нужны деньги, -- сказала она, -- и их надо добыть; иначе я просто погибла.	neutral
17	-- Коку с соком, Крестьян Иванович; это пословица русская.	neutral
18	-- Которому?	neutral
19	-- Совсем убил?	neutral
21	-- Да благословит же тебя бог, как я благословляю тебя, дитя мое милое, бесценное дитя!	positive
24	-- Ах ты, боже мой!	neutral
25	-- Мейн фрау!	neutral
26	-- Ну, ин вон в том, -- в-вон в этом!	neutral
27	-- О нет, всё это шутка!	neutral
30	-- Вы клялись, что соскочили бы с Шлангенберга; вы клянетесь, что вы готовы убить, если я прикажу.	negative
32	-- Пи-лой пы-лят, а иглой шьют.	neutral
33	-- Не твое дело, сволочь!	negative
34	-- Спасибо, Пелагея Ниловна!	positive
35	-- Смотреть!..	neutral
36	-- И уж, конечно, он в десять раз богаче француза.	neutral
37	-- А этот дом Пчелина купца, Саввы Петровича.	neutral
38	-- Они говорят: вы уж с месяц, говорят, обещали, а все не съезжаете; мы, говорят, полиции дадим знать.	neutral
39	-- Для знакомств вообще я мало времени имею, -- сказал генерал, -- но так как вы, конечно, имеете свою цель, то...	neutral
41	-- Василий Тихоныч Заезжалов, -- начал Александр Федорыч, -- убедительно просит вас справиться и похлопотать о его деле...	neutral
42	-- Нишкни, о...	neutral
45	-- Больно уж ты часто по церквам ходишь...	neutral
46	-- Отчего ж у других чисто?	neutral
47	-- Вот этот самый полуштоф-с на ее деньги и куплен, -- произнес Мармеладов, исключительно обращаясь к Раскольникову.	neutral
48	-- Напрасно ты на людей столько внимания обращаешь; каждый живёт сам собой -- видишь?	neutral
49	-- А я вот ничему никогда не обучался.	neutral
50	-- И мы?	neutral
51	-- Да ведь не знаешь!	neutral
53	-- Эй, старуха!	negative
54	-- Ещё в то время, как подкинули тебя, думал я -- не взять ли ребёнка-то себе, да не успел тогда.	neutral
55	-- Да...	neutral
56	-- Уверяю вас, что я не солгал вам, и вы отвечать за меня не будете.	neutral
57	-- Ну так, хотите, Миша другую лошадь вам даст?	neutral
58	-- Я забыл!	neutral
